    338,         1.25,        3.875,           0.
    339,         1.25,         3.75,           0.
    340,         1.25,        3.625,           0.
    341,         1.25,          3.5,           0.
    342,         1.25,        3.375,           0.
    343,         1.25,         3.25,           0.
    344,         1.25,        3.125,           0.
    345,         1.25,           3.,           0.
    346,         1.25,        2.875,           0.
    347,         1.25,         2.75,           0.
    348,         1.25,        2.625,           0.
    349,         1.25,          2.5,           0.
    350,         1.25,        2.375,           0.
    351,         1.25,         2.25,           0.
    352,         1.25,        2.125,           0.
    353,         1.25,           2.,           0.
    354,         1.25,        1.875,           0.
    355,         1.25,         1.75,           0.
    356,         1.25,        1.625,           0.
    357,         1.25,          1.5,           0.
    358,         1.25,        1.375,           0.
    359,         1.25,         1.25,           0.
    360,         1.25,        1.125,           0.
    361,         1.25,           1.,           0.
    362,         1.25,        0.875,           0.
    363,         1.25,         0.75,           0.
    364,         1.25,        0.625,           0.
    365,         1.25,          0.5,           0.
    366,         1.25,        0.375,           0.
    367,         1.25,         0.25,           0.
    368,         1.25,        0.125,           0.
    369,         1.25,           0.,           0.
    370,        1.125,           5.,         0.25
    371,        1.125,        4.875,         0.25
    372,        1.125,         4.75,         0.25
    373,        1.125,        4.625,         0.25
    374,        1.125,          4.5,         0.25
    375,        1.125,        4.375,         0.25
    376,        1.125,         4.25,         0.25
    377,        1.125,        4.125,         0.25
    378,        1.125,           4.,         0.25
    379,        1.125,        3.875,         0.25
    380,        1.125,         3.75,         0.25
    381,        1.125,        3.625,         0.25
    382,        1.125,          3.5,         0.25
    383,        1.125,        3.375,         0.25
    384,        1.125,         3.25,         0.25
    385,        1.125,        3.125,         0.25
    386,        1.125,           3.,         0.25
    387,        1.125,        2.875,         0.25
    388,        1.125,         2.75,         0.25
    389,        1.125,        2.625,         0.25
    390,        1.125,          2.5,         0.25
    391,        1.125,        2.375,         0.25
    392,        1.125,         2.25,         0.25
    393,        1.125,        2.125,         0.25
    394,        1.125,           2.,         0.25
    395,        1.125,        1.875,         0.25
    396,        1.125,         1.75,         0.25
    397,        1.125,        1.625,         0.25
    398,        1.125,          1.5,         0.25
    399,        1.125,        1.375,         0.25
    400,        1.125,         1.25,         0.25
    401,        1.125,        1.125,         0.25
    402,        1.125,           1.,         0.25
    403,        1.125,        0.875,         0.25
    404,        1.125,         0.75,         0.25
    405,        1.125,        0.625,         0.25
    406,        1.125,          0.5,         0.25
    407,        1.125,        0.375,         0.25
    408,        1.125,         0.25,         0.25
    409,        1.125,        0.125,         0.25
    410,        1.125,           0.,         0.25
    411,        1.125,           5.,        0.125
    412,        1.125,        4.875,        0.125
    413,        1.125,         4.75,        0.125
    414,        1.125,        4.625,        0.125
    415,        1.125,          4.5,        0.125
    416,        1.125,        4.375,        0.125
    417,        1.125,         4.25,        0.125
    418,        1.125,        4.125,        0.125
    419,        1.125,           4.,        0.125
    420,        1.125,        3.875,        0.125
    421,        1.125,         3.75,        0.125
    422,        1.125,        3.625,        0.125
    423,        1.125,          3.5,        0.125
    424,        1.125,        3.375,        0.125
    425,        1.125,         3.25,        0.125
    426,        1.125,        3.125,        0.125
    427,        1.125,           3.,        0.125
    428,        1.125,        2.875,        0.125
    429,        1.125,         2.75,        0.125
    430,        1.125,        2.625,        0.125
    431,        1.125,          2.5,        0.125
    432,        1.125,        2.375,        0.125
    433,        1.125,         2.25,        0.125
    434,        1.125,        2.125,        0.125
    435,        1.125,           2.,        0.125
    436,        1.125,        1.875,        0.125
    437,        1.125,         1.75,        0.125
    438,        1.125,        1.625,        0.125
    439,        1.125,          1.5,        0.125
    440,        1.125,        1.375,        0.125
    441,        1.125,         1.25,        0.125
    442,        1.125,        1.125,        0.125
    443,        1.125,           1.,        0.125
    444,        1.125,        0.875,        0.125
    445,        1.125,         0.75,        0.125
    446,        1.125,        0.625,        0.125
    447,        1.125,          0.5,        0.125
    448,        1.125,        0.375,        0.125
    449,        1.125,         0.25,        0.125
    450,        1.125,        0.125,        0.125
    451,        1.125,           0.,        0.125
    452,        1.125,           5.,           0.
    453,        1.125,        4.875,           0.
    454,        1.125,         4.75,           0.
    455,        1.125,        4.625,           0.
    456,        1.125,          4.5,           0.
    457,        1.125,        4.375,           0.
    458,        1.125,         4.25,           0.
    459,        1.125,        4.125,           0.
    460,        1.125,           4.,           0.
    461,        1.125,        3.875,           0.
    462,        1.125,         3.75,           0.
    463,        1.125,        3.625,           0.
    464,        1.125,          3.5,           0.
    465,        1.125,        3.375,           0.
    466,        1.125,         3.25,           0.
    467,        1.125,        3.125,           0.
    468,        1.125,           3.,           0.
    469,        1.125,        2.875,           0.
    470,        1.125,         2.75,           0.
    471,        1.125,        2.625,           0.
    472,        1.125,          2.5,           0.
    473,        1.125,        2.375,           0.
    474,        1.125,         2.25,           0.
    475,        1.125,        2.125,           0.
    476,        1.125,           2.,           0.
    477,        1.125,        1.875,           0.
    478,        1.125,         1.75,           0.
    479,        1.125,        1.625,           0.
    480,        1.125,          1.5,           0.
    481,        1.125,        1.375,           0.
    482,        1.125,         1.25,           0.
    483,        1.125,        1.125,           0.
    484,        1.125,           1.,           0.
    485,        1.125,        0.875,           0.
    486,        1.125,         0.75,           0.
    487,        1.125,        0.625,           0.
    488,        1.125,          0.5,           0.
    489,        1.125,        0.375,           0.
